,1,2,3,Page Level 4,Page Layout,Existing / Additional Page ?,Inspiration / Current URL (if existing page),Who should write the content?,Notes,Target Keyword,Search Volume,KW Density ,+KWs,Old H1,New Header (H1),Old Title,New Title,Chars (50-65),URL,Old Metas,New Meta Description,Chars (130-160),Type of Content ,Notes,"Original URL 
(if rewritten) ",Document Link,Date Published ,New URL ,Notes,PSD,Des. URL,Notes,Dev. URL,map_id,map_data,meta_tag,H1_tag,Extracted Text,Meta_Link,H1_Link,H1_id,H1_com,Meta_id,Meta_com,H1_Updated_DB,Meta_Updated_DB
11,,,Email Encryption & Data Protection,,Solutions,Existing Page,https://guardiandigital.com/information-protection,,,Email Encryption & Data Protection,,,,Information Protection - Email Encryption & Data Protection,Email Encryption & Data Protection - Guardian Digital,Effective information protection provides data integrity | Guardi.,Email Encryption & Data Protection,34,https://guardiandigital.com/information-protection,"Effective information protection provides data integrity, confidentiality and availability","Guardian Digital has developed unparalleled AI-powered business cloud email security services. Learn about our Email Encryption & Data Protection here.""",152,,,,,,,,,,,,13,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,information-protection,index.php?option=com_menu&view=metadescription&id=676,index.php?option=com_sppagebuilder&view=page&id=97,97,w5zxq_sppagebuilder,676,w5zxq_menu,False,True
12,,Microsoft 365 Email Security,,,Solutions,Existing Page,https://guardiandigital.com/microsoft-365-email-security,,,Microsoft 365 Email Security,,,,Microsoft 365 Email Security,Email Security for Microsoft 365,Office 365 Email Security.,Microsoft 365 Email Security - Guardian Digital,47,https://guardiandigital.com/microsoft-365-email-security,"Office 365 Email Security solution provides Microsoft Office 365 users with multiple layers of additional protection against phishing, scams and account takeovers.","Guardian Digital has developed unparalleled AI-powered business cloud email security services. Learn about our Microsoft 365 Email Security here.""",146,,,,,,,,,,,,14,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,microsoft-365-email-security,index.php?option=com_menu&view=metadescription&id=833,index.php?option=com_sppagebuilder&view=page&id=10,10,w5zxq_sppagebuilder,833,w5zxq_menu,True,True
13,,Google Workspace Email Security Solution,,,Solutions,Existing Page,https://guardiandigital.com/google-workspace-email-protection,,,Google Workspace Email Security Solution,,,,Gmail Security - Advanced Google Workspace Email Security Solution,Google Workspace Email Security Solution - Guardian Digital,Google Workspace Email Security | Gmail Email Security - Guardian D....,Google Workspace Email Security Solution,40,https://guardiandigital.com/google-workspace-email-protection,"G Suite provides basic security, but it won't secure you against the most sophisticated email attacks such as business email compromise, spear phishing, or account takeovers. Guardian Digital provides complete G Suite email security to businesses.",Guardian Digital has developed unparalleled AI-powered business cloud email security services. Learn about our Google Workspace Email Security Solution,151,,,,,,,,,,,,15,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,google-workspace-email-protection,index.php?option=com_menu&view=metadescription&id=835,index.php?option=com_sppagebuilder&view=page&id=19,19,w5zxq_sppagebuilder,835,w5zxq_menu,False,True
14,,Exchange Email Security,,,Solutions,Existing Page,https://guardiandigital.com/exchange-email-security,,,Exchange Email Security,,,,Exchange Email Security - AI Powered Microsoft Exchange Threat Protection,Exchange Email Security - Guardian Digital,Exchange Email Security - Protection Against Advanced Attacks | Gua...., AI Powered Microsoft Exchange Threat Protection,48,https://guardiandigital.com/exchange-email-security,Learn how Guardian Digital makes Microsoft Exchange business emails safe from advanced email threats. Get free trial of Exchange Email Security by Guardian Digital.,"Guardian Digital has developed unparalleled AI-powered business cloud email security services. Learn about our Exchange Email Security here.""",141,,,,,,,,,,,,16,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,exchange-email-security,index.php?option=com_menu&view=metadescription&id=834,index.php?option=com_sppagebuilder&view=page&id=18,18,w5zxq_sppagebuilder,834,w5zxq_menu,False,True
15,Email Threat Types,,,,,Additional Page,considering create landing page for all email threat types,,,,,,,,Types of Email Threats,,Email Threat Types - Guardian Digital,37,,,"At Guardian Digital, our team of professionals are equipped with the expertise and resources to neutralize different email threats types. Learn more here.",154,,,,,,,,,,,,17,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",False,False,considering create landing page for all email threat types,,,,,,,False,False
16,,Phishing,,,Threat,Existing Page,https://guardiandigital.com/email-threat/phishing,,,Securing Business Emails Against Phishing,,,,Phishing,Securing Business Emails Against Phishing  - Guardian Digital,Securing Business Emails Against Phishing - Prevent Your Business.,Securing Business Emails Against Phishing,41,https://guardiandigital.com/email-threat/phishing,Email phishing scams that deceive users into sharing sensitive information with an attacker or installing malware on their devices are at the root of over 90% of all Cyber Attacks and data breaches.,"At Guardian Digital, our team of professionals are equipped with the expertise and resources to neutralize email threats such as Phishing.",138,,,,,,,,,,,,18,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,phishing,index.php?option=com_menu&view=metadescription&id=1108,index.php?option=com_sppagebuilder&view=page&id=67,67,w5zxq_sppagebuilder,1108,w5zxq_menu,True,True
17,,Spear Phishing,,,Threat,Existing Page,https://guardiandigital.com/email-threat/spear-phishing,,,Securing Business Emails Against Spear Phishing,,,,Spear Phishing,Securing Business Emails Against Spear Phishing - Guardian Digital,Securing Business Emails Against Spear Phishing - Prevent Your Bu.,Securing Business Emails Against Spear Phishing,47,https://guardiandigital.com/email-threat/spear-phishing,Spear phishing is becoming an increasingly popular attack vector because it is generally more successful than conventional phishing.,"At Guardian Digital, our team of professionals are equipped with the expertise and resources to neutralize email threats such as Spear Phishing.",144,,,,,,,,,,,,19,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,spear-phishing,index.php?option=com_menu&view=metadescription&id=1111,index.php?option=com_sppagebuilder&view=page&id=70,70,w5zxq_sppagebuilder,1111,w5zxq_menu,True,True
18,,Whaling,,,Threat,Existing Page,https://guardiandigital.com/email-threat/whaling,,,Securing Business Emails Against Whaling,,,Securing Business Emails Against Whaling - Guardian Digital - Guardian Digital,Whaling,Securing Business Emails Against Whaling - Guardian Digital,Securing Business Emails Against Whaling - Prevent Your Business .,Securing Business Emails Against Whaling,40,https://guardiandigital.com/email-threat/whaling,"Cybercriminals recognize that high profile executives within an organization, or “whales”, typically have complete access to sensitive data and the ability to authorize high-value wire transfers, and are valuable attack targets for this reason. Whaling attacks are often successful because due to the","At Guardian Digital, our team of professionals are equipped with the expertise and resources to neutralize email threats such as Whaling.",137,,,,,,,,,,,,20,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,whaling,index.php?option=com_menu&view=metadescription&id=1113,index.php?option=com_sppagebuilder&view=page&id=72,72,w5zxq_sppagebuilder,1113,w5zxq_menu,True,True
19,,Malware,,,Threat,Existing Page,https://guardiandigital.com/email-threat/malware,,,Securing Business Emails Against Malware,,,,Malware,Securing Business Emails Against Malware - Guardian Digital,Securing Business Emails Against Malware | Guardian Digital.,Securing Business Emails Against Malware,40,https://guardiandigital.com/email-threat/malware,"Malware is dangerous software designed to disrupt, damage or gain unauthorized access to a computer system. 92% of malware is delivered via email.","At Guardian Digital, our team of professionals are equipped with the expertise and resources to neutralize email threats such as Malware.",137,,,,,,,,,,,,21,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,malware,index.php?option=com_menu&view=metadescription&id=1112,index.php?option=com_sppagebuilder&view=page&id=71,71,w5zxq_sppagebuilder,1112,w5zxq_menu,True,True
20,,Ransomware,,,Threat,Existing Page,https://guardiandigital.com/email-threat/ransomware,,,Securing Business Emails Against Ransomware,,,,What is ransomware?,Securing Business Emails Against Ransomware - Guardian Digital,Securing Business Emails Against Ransomware - Prevent Your Business.,Securing Business Emails Against Ransomeware,44,https://guardiandigital.com/email-threat/ransomware,"While modern ransomware attacks range from simple “ransomware in a box” to customized malware designed specifically to evade detection, attacks generally follow the same four phases.","At Guardian Digital, our team of professionals are equipped with the expertise and resources to neutralize email threats such as Ransomware.",140,,,,,,,,,,,,22,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,ransomware,index.php?option=com_menu&view=metadescription&id=1109,index.php?option=com_sppagebuilder&view=page&id=68,68,w5zxq_sppagebuilder,1109,w5zxq_menu,False,True
21,,Business Email Compromise,,,Threat,Existing Page,https://guardiandigital.com/email-threat/business-email-compromise,,,Securing Business Emails From Business Email Compromise,,,,Business Email Compromise,Securing Business Emails From Business Email Compromise - Guardian Digital,Securing Business Emails From Business Email Compromise - Prevent.,Business Email Compromise - How to Secure Business Emails,57,https://guardiandigital.com/email-threat/business-email-compromise,Business Email Compromise (BEC) scams deceive victims into believing they’re communicating with an authority figure such as a CEO or CFO - often without the use of malicious links or attachments.,"At Guardian Digital, our team of professionals are equipped with the expertise and resources to neutralize email threats such as Business Email Compromise.",155,,,,,,,,,,,,23,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,business-email-compromise,index.php?option=com_menu&view=metadescription&id=1110,index.php?option=com_sppagebuilder&view=page&id=69,69,w5zxq_sppagebuilder,1110,w5zxq_menu,True,True
22,,Email Viruses,,,Threat,Existing Page,https://guardiandigital.com/email-threat/email-viruses,,,Securing Business Emails Against Email Viruses,,,,Email Viruses,Securing Business Emails Against Email Viruses - Guardian Digital,Securing Business Emails Against Email Viruses | Guardian Digital.,Email Viruses - How to Secure Business Emails,45,https://guardiandigital.com/email-threat/email-viruses,"Email viruses are commonly linked to phishing attacks, and many rely on user naivety to infect devices and spread. Others are hidden in stealthy social engineering attacks and employ advanced techniques like masquerading as a seemingly harmless file by changing their signature, making these viruses","At Guardian Digital, our team of professionals are equipped with the expertise and resources to neutralize email threats such as Email Viruses.",143,,,,,,,,,,,,24,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,email-viruses,index.php?option=com_menu&view=metadescription&id=1114,index.php?option=com_sppagebuilder&view=page&id=73,73,w5zxq_sppagebuilder,1114,w5zxq_menu,True,True
23,,Zero-Day Attack,,,Threat,Existing Page,https://guardiandigital.com/email-threat/zero-day-attack,,,Securing Business Emails Against Zero Day Attack,,,,Zero-Day Attack,Securing Business Emails Against Zero Day Attack - Guardian Digital,Securing Business Emails Against Zero Day Attack | Guardian Digit.,Zero Day Attack - How to Secure Business Emails,47,https://guardiandigital.com/email-threat/zero-day-attack,Zero-day attacks that exploit unknown or unaddressed vulnerabilities enable cybercriminals to infiltrate corporate networks and either attack immediately or sit and wait for the optimal time to do so. The majority of zero-day attacks are carried out via email.,"At Guardian Digital, our team of professionals are equipped with the expertise and resources to neutralize email threats such as Zero-Day Attack.",145,,,,,,,,,,,,25,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,zero-day-attack,index.php?option=com_menu&view=metadescription&id=1115,index.php?option=com_sppagebuilder&view=page&id=74,74,w5zxq_sppagebuilder,1115,w5zxq_menu,False,True
24,,Account Takeover (ATO) & Lateral Phishing,,,Threat,Existing Page,https://guardiandigital.com/email-threat/account-takeover-ato-lateral-phishing,,,Account Takeover (ATO) & Lateral Phishing,,,,Account Takeover (ATO) & Lateral Phishing,Account Takeover (ATO) & Lateral Phishing - Guardian Digital,Account Takeover (ATO) & Lateral Phishing | Guardian Digital.,Securing Email Against Account Takeover & Lateral Phishing,58,https://guardiandigital.com/email-threat/account-takeover-ato-lateral-phishing,"Access to trusted accounts is the holy grail for cyber criminals and a key to identity theft. This also provides a foothold where the bad actor can continue to leverage this trust to move throughout an organization, giving the intruder time.","At Guardian Digital, our team of professionals are well equipped to neutralize email threats such as Account Takeover (ATO) & Lateral Phishing.",143,,,,,,,,,,,,26,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,account-takeover-ato-lateral-phishing,index.php?option=com_menu&view=metadescription&id=1154,index.php?option=com_sppagebuilder&view=page&id=100,100,w5zxq_sppagebuilder,1154,w5zxq_menu,True,True
25,,Social Engineering,,,Threat,Existing Page,https://guardiandigital.com/email-threat/social-engineering,,,Securing Business Emails Against Social Engineering,,,,Social Engineering,Securing Business Emails Against Social Engineering - Guardian Digital,Social Engineering | Guardian Digital.,Social Engineering - How to Secure Business Emails,50,https://guardiandigital.com/email-threat/social-engineering,"Manipulation of information and people into performing actions or divulging confidential information is the basis of 98% of all Cyber Attacks. This form of attack relies on human error to leverage a personal or business relationship, making them harder to identify and defeat.","At Guardian Digital, our team of professionals are equipped with the expertise and resources to neutralize email threats such as Social Engineering.",148,,,,,,,,,,,,27,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,social-engineering,index.php?option=com_menu&view=metadescription&id=1155,index.php?option=com_sppagebuilder&view=page&id=101,101,w5zxq_sppagebuilder,1155,w5zxq_menu,True,True
26,,Data Exfiltration,,,Threat,Additional Page,inspiration from https://www.proofpoint.com/us/threat-reference/data-exfiltration,,,Securing Business Emails Against Data Exfiltration,,,,,Securing Business Emails Against Data Exfiltration - Guardian Digital,,Data Exfiltration - How to Secure Business Emails,49,,,"At Guardian Digital, our team of professionals are equipped with the expertise and resources to neutralize email threats such as Data Exfiltration.",147,,,,,,,,,,,,28,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",False,False,data-exfiltration,,,,,,,False,False
27,,Scamming,,,Threat,Additional Page,,,,Securing Business Emails Against Scamming,,,,,Securing Business Emails Against Scamming - Guardian Digital,,Scamming - How to Secure Business Emails,40,,,"At Guardian Digital, our team of professionals are equipped with the expertise and resources to neutralize email threats such as Scamming.",138,,,,,,,,,,,,29,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",False,False,,,,,,,,False,False
28,,Domain Impersonation,,,Threat,Additional Page,inspiration from https://www.mimecast.com/solutions/email-security/impersonation/,,,Securing Business Emails Against Domain Impersonation,,,,,Securing Business Emails Against Domain Impersonation - Guardian Digital,,Domain Impersonation - How to Secure Business Emails,52,,,"At Guardian Digital, our team of professionals are equipped with the expertise and resources to neutralize email threats such as Domain Impersonation.",150,,,,,,,,,,,,30,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",False,False,,,,,,,,False,False
29,,Brand Impersonation,,,Threat,Additional Page,inspiration from https://www.mimecast.com/solutions/email-security/impersonation/,,,Securing Business Emails Against Brand Impersonation,,,,,Securing Business Emails Against Brand Impersonation - Guardian Digital,,Brand Impersonation - How to Secure Business Emails,51,,,"At Guardian Digital, our team of professionals are equipped with the expertise and resources to neutralize email threats such as Brand Impersonation.",149,,,,,,,,,,,,31,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",False,False,,,,,,,,False,False
30,,Extortion,,,Threat,Additional Page,,,,Securing Business Emails Against Extortion,,,,,Securing Business Emails Against Extortion - Guardian Digital,,Extortion - How to Secure Business Emails,41,,,"At Guardian Digital, our team of professionals are equipped with the expertise and resources to neutralize email threats such as Extortion.",139,,,,,,,,,,,,32,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",False,False,,,,,,,,False,False
31,,Conversation Hijacking,,,Threat,Additional Page,,,,Securing Business Emails Against Conversation Hijacking,,,,,Securing Business Emails Against Conversation Hijacking - Guardian Digital,,Conversation Hijacking - How to Secure Business Emails,54,,,"At Guardian Digital, our team of professionals are equipped with the expertise and resources to neutralize email threats such as Conversation Hijacking.",152,,,,,,,,,,,,33,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",False,False,,,,,,,,False,False
32,,Why Guardian Digital,,,,Existing Page,https://guardiandigital.com/why-guardian-digital,,,Why Guardian Digital,,,,Why Guardian Digital,Why Guardian Digital?,Comprehensive Email Security Protection Plus Support.,Why Choose the Guardian Digital Experts?,40,https://guardiandigital.com/why-guardian-digital,Guardian Digital EnGarde Email Security Gateway provides businesses with unparalleled open-source email protection and exceptional customer support.,Guardian Digital stands out with superior open source email protection and exceptional service. Find out why Guardian Digital is your top choice,144,,,,,,,,,,,,34,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,why-guardian-digital,index.php?option=com_menu&view=metadescription&id=121,index.php?option=com_sppagebuilder&view=page&id=102,102,w5zxq_sppagebuilder,121,w5zxq_menu,True,True
33,,,About Guardian Digital,,,Existing Page,https://guardiandigital.com/why-guardian-digital/about-us,,,About Guardian Digital,,,,About Guardian Digital,About Guardian Digital - Guardian Digital,About Guardian Digital.,Learn More About Guardian Digital?,34,https://guardiandigital.com/why-guardian-digital/about-us,"We make email safe for business by protecting organizations of all sizes against today’s most advanced threats like targeted spear phishing, ransomware and emerging zero-day attacks with comprehensive, flexible email defenses.","Established over 20 years ago, Guardian Digital is a leading provider of open source email security services. Find out more about us here.",138,,,,,,,,,,,,35,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,about-us,index.php?option=com_menu&view=metadescription&id=737,index.php?option=com_sppagebuilder&view=page&id=83,83,w5zxq_sppagebuilder,737,w5zxq_menu,True,True
34,,,Our Philosophy,,,Existing Page,https://guardiandigital.com/our-philosophy,,,Email Security Solutions Company,,,,Our Philosophy,Email Security Solutions Company - Guardian Digital,Latest Email Security Solutions Using Open Standards.,Email Security Solutions Company,32,https://guardiandigital.com/our-philosophy,"For the past 20 years, Guardian Digital has provided cutting-edge open-source business email security and unparalleled customer support.","Established over 20 years ago, Guardian Digital is a leading provider of open source email security services. Find out more about our philosophy here.",150,,,,,,,,,,,,36,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,our-philosophy,index.php?option=com_menu&view=metadescription&id=132,index.php?option=com_sppagebuilder&view=page&id=86,86,w5zxq_sppagebuilder,132,w5zxq_menu,False,True
35,,,Company Backgrounder,,,Existing Page,https://guardiandigital.com/corporate-backgrounder,,,Company Background,,,,Company Backgrounder,Guardian Digital's Company Background,Corporate Backgrounder.,Company Background - Guardian Digital,37,https://guardiandigital.com/corporate-backgrounder,"Guardian Digital, Inc. builds enterprise email security solutions that provide unparalleled protection from every form of email threat","Established over 20 years ago, Guardian Digital is a leading provider of open source email security services. Learn more about our company backgrounder.",152,,,,,,,,,,,,37,"['SP Page Builder', 'w5zxq_sppagebuilder - `text` ', 'w5zxq_menu - `params`']",True,True,corporate-backgrounder,index.php?option=com_menu&view=metadescription&id=148,index.php?option=com_sppagebuilder&view=page&id=78,78,w5zxq_sppagebuilder,148,w5zxq_menu,False,True
